Price,Miles,Trim,Year
34995,50809,Performance,2013
88888,4126,Performance,2019
29997,91196,Performance,2013
29990,66114,Performance,2012
39491,32828,Performance,2013
28999,68563,Performance,2013
36900,29622,Performance,2013
30900,78800,Performance,2013
37490,45405,Performance,2013
34480,53876,Performance,2013
32988,56518,Performance,2013
36575,51995,Performance,2013
32999,38201,Performance,2013
32995,78031,Performance,2013
36000,72920,Performance,2013
94890,1184,Performance,2020
24999,105027,Performance,2012
32999,102501,Performance,2013
30495,86676,Performance,2013
94733,2557,Performance,2020
37950,15492,Performance,2013
34995,52058,Performance,2013
34900,50279,Performance,2013
34934,67553,Performance,2013
41995,4730,Performance,2013
84990,42026,Performance,2020
38999,54386,Performance,2013
37779,57102,Performance,2013
36995,41799,Performance,2013
37995,44881,Performance,2013
33980,52331,Performance,2013
91550,17999,Performance,2020
88692,8183,Performance,2020
33995,36650,Performance,2013
39995,54512,Performance,2013
61990,27962,100D,2017
64595,27908,100D,2018
61864,29569,100D,2018
57993,22455,100D,2017
57996,26162,100D,2017
64992,28222,100D,2018
62490,33765,100D,2018
65999,13097,100D,2019
52980,53234,100D,2018
55999,24957,100D,2017
63999,12491,100D,2018
49999,64592,100D,2017
50995,66570,100D,2017
53999,42562,100D,2017
63981,34500,100D,2018
56999,43268,100D,2017
54999,27806,100D,2017
67231,22377,100D,2018
54524,41802,100D,2017
58480,29183,100D,2018
58750,41124,100D,2018
56950,62334,100D,2018
66977,15793,100D,2018
58699,30366,100D,2017
55950,56867,100D,2017
60989,34779,100D,2017
59880,22715,100D,2017
60995,30895,100D,2017
59933,28979,100D,2017
60999,20542,100D,2018
62999,24624,100D,2017
59489,39882,100D,2017
51998,54586,100D,2017
69990,15544,100D,2018
62899,13893,100D,2018
74998,18820,100D,2019
52399,35112,100D,2017
49980,47445,100D,2017
60999,13742,100D,2017
70900,34006,100D,2019
63995,19324,100D,2018
60999,27277,100D,2017
60980,28633,100D,2018
69990,22025,100D,2018
58999,34902,100D,2017
64950,13382,100D,2018
56983,28303,100D,2017
63495,31739,100D,2018
59999,24992,100D,2017
55900,48749,100D,2017
57977,47274,100D,2017
59989,38930,100D,2017
62000,20599,100D,2017
59999,36953,100D,2017
62999,32997,100D,2017
52900,58941,100D,2017
64898,31078,100D,2018
71795,22100,100D,2018
63995,32740,100D,2017
55800,48957,100D,2017
68991,34701,100D,2018
59989,52397,100D,2018
58919,32030,100D,2017
69900,6339,100D,2017
47800,80972,100D,2017
69938,12590,100D,2019
72495,14541,100D,2019
61991,16315,100D,2017
68000,26330,100D,2018
43995,47351,P85D,2014
45990,37784,P85D,2015
43989,48193,P85D,2014
38488,50432,P85D,2014
47990,24084,P85D,2015
44940,39764,P85D,2015
45995,38507,P85D,2015
45000,34872,P85D,2015
47454,31457,P85D,2015
38786,76749,P85D,2014
49995,23055,P85D,2015
47450,32184,P85D,2015
41888,45585,P85D,2014
37999,59941,P85D,2014
41986,63566,P85D,2014
49990,33954,P85D,2014
46999,56498,P85D,2015
39995,45561,P85D,2014
38900,47977,P85D,2015
43950,65536,P85D,2015
40999,66097,P85D,2015
45999,45432,P85D,2014
40999,31908,P85D,2014
39999,80909,P85D,2014
39995,54851,P85D,2014
58800,15002,P85D,2015
42999,60170,P85D,2014
43989,48193,P85D,2014
46989,50601,P85D,2015
47989,42492,P85D,2015
36989,103331,P85D,2014
42276,47212,P85D,2014
42999,57243,P85D,2015
40999,55845,P85D,2014
46990,34262,P85D,2015
58991,16750,P85D,2015
53495,52247,P85D,2015
42999,44429,P85D,2014
44999,54893,P85D,2014
39995,79553,P85D,2015
44990,86064,P85D,2015
43990,83167,P85D,2015
68995,19983,P85D,2015
39995,77182,P85D,2014
49999,41939,P85D,2014
46977,50060,P85D,2015
52995,29563,P85D,2015
52990,25719,P85D,2014
49998,49195,P85D,2015
46500,31075,P85D,2015
39995,80331,P85D,2014
54995,23069,P85D,2015
49999,25240,P85D,2015
41950,67273,P85D,2014
46440,35470,P85D,2014
40914,84520,P85D,2015
52799,38170,P85D,2015
51000,38451,90D,2017
55989,29884,90D,2017
49900,43688,90D,2017
52976,25901,90D,2017
47790,13823,90D,2016
44999,34749,90D,2016
49995,52219,90D,2017
41999,42052,90D,2016
47999,35039,90D,2017
49980,30034,90D,2017
55990,37077,90D,2017
44950,44095,90D,2016
40488,79120,90D,2016
47998,36778,90D,2016
45014,51464,90D,2016
49999,45688,90D,2017
51977,59887,90D,2017
50488,44810,90D,2017
46995,52424,90D,2016
47958,35808,90D,2016
46899,48250,90D,2017
51298,64127,90D,2017
44495,53794,90D,2016
46995,43243,90D,2016
62995,28310,90D,2016
57900,26115,90D,2017
43977,75482,90D,2016
61399,34074,90D,2016
44989,76936,90D,2016
49977,71395,90D,2017
44451,57756,90D,2016
52888,34684,90D,2016
46921,65825,90D,2017
55989,35512,90D,2017
45995,42588,90D,2016
49990,38539,90D,2016
49999,48944,90D,2017
55900,25835,90D,2017
60995,13580,90D,2016
47617,61582,90D,2016
48900,31734,90D,2016
62995,38529,90D,2017
49991,26204,90D,2016
47995,66443,90D,2017
54999,67449,90D,2017
43995,47351,85D,2014
45990,37784,85D,2015
43989,48193,85D,2014
38488,50432,85D,2014
47990,24084,85D,2015
44940,39764,85D,2015
45995,38507,85D,2015
45000,34872,85D,2015
47454,31457,85D,2015
38786,76749,85D,2014
49995,23055,85D,2015
47450,32184,85D,2015
41888,45585,85D,2014
37999,59941,85D,2014
41986,63566,85D,2014
49990,33954,85D,2014
46999,56498,85D,2015
39995,45561,85D,2014
38900,47977,85D,2015
43950,65536,85D,2015
40999,66097,85D,2015
45999,45432,85D,2014
40999,31908,85D,2014
39999,80909,85D,2014
39995,54851,85D,2014
58800,15002,85D,2015
42999,60170,85D,2014
43989,48193,85D,2014
46989,50601,85D,2015
47989,42492,85D,2015
36989,103331,85D,2014
42276,47212,85D,2014
42999,57243,85D,2015
40999,55845,85D,2014
46990,34262,85D,2015
58991,16750,85D,2015
53495,52247,85D,2015
42999,44429,85D,2014
44999,54893,85D,2014
39995,79553,85D,2015
44990,86064,85D,2015
43990,83167,85D,2015
68995,19983,85D,2015
39995,77182,85D,2014
49999,41939,85D,2014
46977,50060,85D,2015
52995,29563,85D,2015
52990,25719,85D,2014
49998,49195,85D,2015
46500,31075,85D,2015
39995,80331,85D,2014
54995,23069,85D,2015
49999,25240,85D,2015
41950,67273,85D,2014
46440,35470,85D,2014
40914,84520,85D,2015
52799,38170,85D,2015
38989,38242,70D,2015
37998,19979,70D,2015
39991,25077,70D,2015
39995,48789,70D,2015
38980,18953,70D,2015
39900,29495,70D,2016
32890,78924,70D,2015
38000,39948,70D,2015
36999,44647,70D,2016
35995,54554,70D,2015
39991,32706,70D,2015
34995,71860,70D,2015
43988,43428,70D,2016
43995,37421,70D,2016
29880,111463,70D,2015
37383,43249,70D,2015
38997,48731,70D,2015
40990,40301,70D,2016
33500,72861,70D,2015
38952,63896,70D,2016
35863,85049,70D,2015
43314,36753,70D,2016
35995,67853,70D,2015
48985,23800,70D,2016
42995,18625,70D,2015
41995,37517,70D,2016
49999,43853,70D,2016
43400,52618,70D,2015
43999,58738,70D,2016
37999,57883,70D,2016
40950,38143,70D,2016
33999,68526,70D,2015
42999,44215,70D,2016
32987,62820,70D,2015
37945,59489,70D,2015
50000,23374,75,2017
49207,34845,75,2018
50988,20503,75,2018
44988,53961,75,2017
45997,39129,75,2018
47999,32139,75,2017
45990,47409,75,2017
45833,34742,75,2017
41999,32159,75,2016
49985,40498,75,2018
44999,30590,75,2017
52975,12105,75,2017
48995,27876,75,2018
45230,18275,75,2017
47998,29417,75,2017
47299,15651,75,2017
47799,13906,75,2017
39899,45401,75,2016
44900,31605,75,2016
46999,33587,75,2017
39940,84415,75,2017
48500,24753,75,2018
48595,35309,75,2018
39980,38885,75,2016
49499,21493,75,2018
47799,26372,75,2017
49989,53523,75,2018
47585,25549,75,2018
44800,38747,75,2017
48990,18023,75,2018
48975,32720,75,2018
46875,28448,75,2016
50780,30825,75,2018
49975,24199,75,2018
49099,30139,75,2018
44500,36854,75,2016
46355,30778,75,2018
51500,28246,75,2018
51991,51983,75,2018
52825,23388,75,2018
49999,13264,75,2017
48250,24835,75,2017
49995,23570,75,2017
67990,22422,75,2019
45999,24395,75,2018
49500,20936,75,2018
50995,22354,75,2018
49395,28901,75,2018
49898,31668,75,2018
40980,40675,75,2016
48950,22908,75,2017
48495,31944,75,2018
49599,31396,75,2018
48595,31430,75,2018
45000,26442,75,2016
47555,27151,75,2018
46500,32737,75,2017
43999,53876,75,2016
54000,13617,75,2017
48800,32595,75,2018
49889,34998,75,2018
44988,30803,75,2016
41299,46469,75,2016
73761,16637,75,2019
56989,21319,75,2018
51898,28855,75,2018
51898,30226,75,2018
53900,15285,75,2017
52977,23202,75,2017
40999,40494,75,2016
51900,31697,75,2018
53900,28503,75,2018
44999,69791,75,2016
42495,52226,75,2017
45995,37550,75,2016
64950,26124,75,2018
42999,41056,75,2017
52955,31849,75,2018
55980,19059,75,2018
55997,11821,75,2018
50990,24433,75,2018
49995,20996,75,2016
57849,25393,75,2018
45900,49625,75,2017
62900,22700,75,2018
42980,44642,75,2017
42995,53418,75,2016
45730,25279,75,2017
49739,31329,75,2018
48230,13609,75,2017
51895,26247,75,2018
68995,32200,75,2018
55989,11884,75,2018
54989,18666,75,2018
51585,23189,75,2018
44998,19852,75,2017
49996,27355,75,2018
47612,32344,75,2018
46990,20287,75,2017
46995,46245,75,2018
54900,20563,75,2018
50979,28419,75,2017
52988,27901,75,2018
54997,28617,75,2018
52988,32428,75,2018
43995,47351,85,2014
45990,37784,85,2015
43989,48193,85,2014
38488,50432,85,2014
47990,24084,85,2015
44940,39764,85,2015
45995,38507,85,2015
45000,34872,85,2015
47454,31457,85,2015
38786,76749,85,2014
49995,23055,85,2015
47450,32184,85,2015
41888,45585,85,2014
37999,59941,85,2014
41986,63566,85,2014
49990,33954,85,2014
46999,56498,85,2015
39995,45561,85,2014
38900,47977,85,2015
43950,65536,85,2015
40999,66097,85,2015
45999,45432,85,2014
40999,31908,85,2014
39999,80909,85,2014
39995,54851,85,2014
58800,15002,85,2015
42999,60170,85,2014
43989,48193,85,2014
46989,50601,85,2015
47989,42492,85,2015
36989,103331,85,2014
42276,47212,85,2014
42999,57243,85,2015
40999,55845,85,2014
46990,34262,85,2015
58991,16750,85,2015
53495,52247,85,2015
42999,44429,85,2014
44999,54893,85,2014
39995,79553,85,2015
44990,86064,85,2015
43990,83167,85,2015
68995,19983,85,2015
39995,77182,85,2014
49999,41939,85,2014
46977,50060,85,2015
52995,29563,85,2015
52990,25719,85,2014
49998,49195,85,2015
46500,31075,85,2015
39995,80331,85,2014
54995,23069,85,2015
49999,25240,85,2015
41950,67273,85,2014
46440,35470,85,2014
40914,84520,85,2015
52799,38170,85,2015
72990,23770,P100D,2017
65999,37506,P100D,2017
72999,18921,P100D,2018
70980,39022,P100D,2018
65995,32782,P100D,2016
69998,20942,P100D,2016
71980,24603,P100D,2018
70999,34005,P100D,2018
73880,12632,P100D,2018
62544,39277,P100D,2016
82991,10016,P100D,2018
70880,34176,P100D,2018
65999,31274,P100D,2017
71786,42279,P100D,2017
77964,22468,P100D,2018
86500,11015,P100D,2018
64999,43396,P100D,2017
79999,46559,P100D,2018
81999,25536,P100D,2018
69999,40902,P100D,2017
85995,12752,P100D,2018
72855,22546,P100D,2016
64500,39751,P100D,2016
64995,35588,P100D,2018
87900,23733,P100D,2018
67888,52135,P100D,2016
62995,52424,P100D,2016
67995,18444,P100D,2017
77888,33000,P100D,2018
28995,67755,Base,2013
29544,40944,Base,2013
26999,68125,Base,2013
27999,72730,Base,2014
27999,56460,Base,2013
28991,63053,Base,2013
28988,55010,Base,2013
28500,63247,Base,2013
30995,49615,Base,2014
28856,53050,Base,2013
28545,49252,Base,2013
32962,50775,Base,2014
35799,34651,Base,2014
33999,59821,Base,2013
30344,57840,Base,2013
27999,86267,Base,2013
30988,49880,Base,2013
29700,63408,Base,2014
33535,46551,Base,2013
31985,56257,Base,2013
26998,99579,Base,2013
32977,89062,Base,2014
29995,65864,Base,2014
35999,34162,Base,2013
26500,84751,Base,2013
30392,49602,Base,2013
43995,47351,P85,2014
45990,37784,P85,2015
43989,48193,P85,2014
38488,50432,P85,2014
47990,24084,P85,2015
44940,39764,P85,2015
45995,38507,P85,2015
45000,34872,P85,2015
47454,31457,P85,2015
38786,76749,P85,2014
49995,23055,P85,2015
47450,32184,P85,2015
41888,45585,P85,2014
37999,59941,P85,2014
41986,63566,P85,2014
49990,33954,P85,2014
46999,56498,P85,2015
39995,45561,P85,2014
38900,47977,P85,2015
43950,65536,P85,2015
40999,66097,P85,2015
45999,45432,P85,2014
40999,31908,P85,2014
39999,80909,P85,2014
39995,54851,P85,2014
58800,15002,P85,2015
42999,60170,P85,2014
43989,48193,P85,2014
46989,50601,P85,2015
47989,42492,P85,2015
36989,103331,P85,2014
42276,47212,P85,2014
42999,57243,P85,2015
40999,55845,P85,2014
46990,34262,P85,2015
58991,16750,P85,2015
53495,52247,P85,2015
42999,44429,P85,2014
44999,54893,P85,2014
39995,79553,P85,2015
44990,86064,P85,2015
43990,83167,P85,2015
68995,19983,P85,2015
39995,77182,P85,2014
49999,41939,P85,2014
46977,50060,P85,2015
52995,29563,P85,2015
52990,25719,P85,2014
49998,49195,P85,2015
46500,31075,P85,2015
39995,80331,P85,2014
54995,23069,P85,2015
49999,25240,P85,2015
41950,67273,P85,2014
46440,35470,P85,2014
40914,84520,P85,2015
52799,38170,P85,2015
49995,60642,P90D,2016
61997,13036,P90D,2016
50950,40061,P90D,2016
46152,83579,P90D,2016
55798,44965,P90D,2016
54999,47107,P90D,2016
63991,14635,P90D,2016
51995,48374,P90D,2016
62500,38282,P90D,2016
55990,44900,P90D,2016
64991,25085,P90D,2016
55990,55133,P90D,2016
54999,39458,P90D,2016
55800,54277,P90D,2016
57500,39950,P90D,2016
72950,25427,P90D,2016
64991,14035,P90D,2016
55963,36530,P90D,2016
48989,73033,P90D,2015
57977,34485,P90D,2015
64995,17822,P90D,2016
51977,69668,P90D,2016
64990,33849,P90D,2016
60994,36213,P90D,2016
59985,48817,P90D,2016
30995,41764,60,2014
39999,38278,60,2017
29897,50624,60,2014
29999,51203,60,2014
32999,38849,60,2014
35990,37457,60,2015
29350,72017,60,2014
29900,50534,60,2014
29950,66959,60,2014
29495,56279,60,2014
28983,78125,60,2014
39990,22246,60,2015
27896,82442,60,2014
28999,79216,60,2014
33890,46408,60,2014
35555,55519,60,2015
33990,48567,60,2014
38995,37422,60,2014
33998,66822,60,2015
30480,86832,60,2014
32989,55840,60,2014
67998,41437,Long-Range,2019
74895,1073,Long-Range,2020
82501,12500,Long-Range,2020
76990,3837,Long-Range,2020
72500,21154,Long-Range,2019
80399,7800,Long-Range,2021
84900,2804,Long-Range,2020
74900,11331,Long-Range,2019
76998,8529,Long-Range,2020
77555,8743,Long-Range,2020
38989,38242,70,2015
37998,19979,70,2015
39991,25077,70,2015
39995,48789,70,2015
38980,18953,70,2015
39900,29495,70,2016
32890,78924,70,2015
38000,39948,70,2015
36999,44647,70,2016
35995,54554,70,2015
39991,32706,70,2015
34995,71860,70,2015
43988,43428,70,2016
43995,37421,70,2016
29880,111463,70,2015
37383,43249,70,2015
38997,48731,70,2015
40990,40301,70,2016
33500,72861,70,2015
38952,63896,70,2016
35863,85049,70,2015
43314,36753,70,2016
35995,67853,70,2015
48985,23800,70,2016
42995,18625,70,2015
41995,37517,70,2016
49999,43853,70,2016
43400,52618,70,2015
43999,58738,70,2016
37999,57883,70,2016
40950,38143,70,2016
33999,68526,70,2015
42999,44215,70,2016
32987,62820,70,2015
37945,59489,70,2015
49792,6422,60D,2017
44431,36920,60D,2017
39999,72574,60D,2016
33990,39758,Signature-Performance,2012
31590,67697,Signature-Performance,2012
32800,44725,Unspecified,2013
43994,45188,Unspecified,2015
48900,36311,Unspecified,2018
33224,51691,Unspecified,2014
29950,55840,Unspecified,2013
39999,28393,Unspecified,2014
28998,53525,Unspecified,2013
37990,33672,Unspecified,2014
27920,56728,Unspecified,2013
82000,8956,Unspecified,2019
27000,110950,Unspecified,2013
45000,32995,Unspecified,2016
57800,22560,Unspecified,2017
32590,51990,Unspecified,2014
24999,106244,Unspecified,2013
30995,64988,Unspecified,2014
27900,90579,Unspecified,2013
35590,23250,Unspecified,2014
31499,53291,Unspecified,2014
31900,61701,Unspecified,2014
27800,87820,Unspecified,2014
28995,74131,Unspecified,2013
43978,35863,Unspecified,2016
27592,81392,Unspecified,2014
27500,65201,Unspecified,2013
26495,77054,Unspecified,2013
29999,78299,Unspecified,2013
28950,37668,Unspecified,2014
32995,44327,Unspecified,2013
32480,69418,Unspecified,2013
34995,21000,Unspecified,2013
30480,57181,Unspecified,2013
59999,40390,Unspecified,2018
28000,118191,Unspecified,2013
30899,38106,Unspecified,2012
29775,32182,Unspecified,2013
27585,78029,Unspecified,2013
50500,20910,Unspecified,2018
27295,85517,Unspecified,2014
25900,115620,Unspecified,2013
31500,16624,Unspecified,2012
41000,52100,Unspecified,2016
27880,89558,Unspecified,2014
29900,74677,Unspecified,2013
29800,41347,Unspecified,2014
29980,61922,Unspecified,2013
27950,81633,Unspecified,2013
25991,92334,Unspecified,2013
32900,66361,Unspecified,2014
29495,65599,Unspecified,2013
32800,44725,Unspecified,2013
33998,23222,Unspecified,2013
32999,71495,Unspecified,2014
51988,32396,Unspecified,2018
29995,78307,Unspecified,2013
49999,13199,Unspecified,2017
49000,14166,Unspecified,2016
26992,87647,Unspecified,2013
33500,63636,Unspecified,2014
32000,53237,Unspecified,2013
41920,50363,Unspecified,2016
25950,86903,Unspecified,2013
48900,36311,Unspecified,2018
25991,98795,Unspecified,2013
39499,50244,Unspecified,2015
30983,59221,Unspecified,2014
40495,38388,Unspecified,2015
31990,45556,Unspecified,2013
28590,81460,Unspecified,2013
54495,50133,Unspecified,2017
29995,63311,Unspecified,2013
29480,84840,Unspecified,2013
31760,82573,Unspecified,2014
27995,81752,Unspecified,2012
48995,61984,Unspecified,2017
32987,56556,Unspecified,2014
39479,25482,Unspecified,2016
33977,56612,Unspecified,2014
45694,31514,Unspecified,2015
36991,59661,Unspecified,2014
22999,202089,Unspecified,2013
29495,77688,Unspecified,2013
34995,28534,Unspecified,2013
34999,47390,Unspecified,2014
53786,34199,Unspecified,2015
32995,47047,Unspecified,2013
49998,5322,Unspecified,2017
31490,62385,Unspecified,2014
30989,50582,Unspecified,2013
58995,29994,Unspecified,2017
51989,48902,Unspecified,2015
59900,50599,Unspecified,2016
42950,48170,Unspecified,2015
42900,42281,Unspecified,2014
67153,33114,Unspecified,2017
27950,75748,Unspecified,2013
38991,47016,Unspecified,2014
31989,59408,Unspecified,2014
32991,69630,Unspecified,2014
40998,36590,Unspecified,2014
53900,40032,Unspecified,2015
32995,57378,Unspecified,2013
31999,55451,Unspecified,2014
32995,57378,Unspecified,2013
35990,37225,Unspecified,2014
58989,23906,Unspecified,2015
35998,50860,Unspecified,2014
39999,44654,Unspecified,2014
37590,63727,Unspecified,2014
40590,22994,Unspecified,2014
37995,50015,Unspecified,2014
29980,98037,Unspecified,2012
39898,71671,Unspecified,2014
56950,46276,Unspecified,2015
34998,43801,Unspecified,2013
37981,39848,Unspecified,2013
48995,68453,Unspecified,2016
38454,46273,Unspecified,2013
36898,55940,Unspecified,2014
39970,41822,Unspecified,2014
33811,87694,Unspecified,2014
32997,78528,Unspecified,2014
55999,22600,Unspecified,2018
29999,69429,Unspecified,2014
59991,25958,Unspecified,2018
44500,47507,Unspecified,2016
43752,42741,Unspecified,2014
24656,106874,Unspecified,2013
40697,80635,Unspecified,2015
30949,86699,Unspecified,2014
38999,68554,Unspecified,2014
43730,48990,Unspecified,2015
41991,77322,Unspecified,2015
36998,72981,Unspecified,2014
27500,74013,Unspecified,2014
45995,51128,Unspecified,2015
29788,85386,Unspecified,2013
26822,94605,Unspecified,2013
39999,54518,Unspecified,2013
34999,70991,Unspecified,2014
36244,42709,Unspecified,2014
25850,102063,Unspecified,2013
25944,123344,Unspecified,2014
50000,29503,Unspecified,2016
59887,36819,Unspecified,2016
32995,88017,Unspecified,2013
38500,75960,Unspecified,2014
